大学名,都市（英語）,学生数,留学生割合,全体倍率,留学生倍率,TOEFL,IELTS,Duolingo,最終出願締切,年間授業料,年間生活費,奨学金平均額,専攻リンク,全額免除奨学金,授業料免除奨学金,Need,柳井,笹川,グルー,YAWelcome,Latitude,Longitude
Saint Martin's University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,28.5927153,#ERROR!
Saint Mary's College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-87.3241359
Saint Vincent College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.033726,-75.3272014
Salem College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,51.5011441,#ERROR!
Salve Regina University,,,,,,,,,,,,,,,,,✕,✕,✕,〇,#ERROR!,-0.1770874
San Francisco Conservatory of Music,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
Santa Clara University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.5142733,#ERROR!
Sarah Lawrence College,,,,,,,,,,,,,,,,,✕,✕,△,✕,42.9846853,#ERROR!
School of the Art Institute of Chicago,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.7811527,#ERROR!
Scripps College,,,,,,,,,,,,,,,,,✕,✕,△,✕,40.5037488,-78.6388875
Sebbelas Marest University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.7201737,#ERROR!
Seton Hall University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,39.9951217,#ERROR!
Seton Hill University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,47.0407318,-122.8154094
Shawnee State University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,41.7073021,#ERROR!
Shih Hsin University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-79.3998642
Shorter University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,36.0875173,-80.2412072
Siena College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-71.3018716
Siena Heights University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.7754994,#ERROR!
Simmons University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.3489255,-121.9367804
Singapore Institute of Technology,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.93459,-73.8455821
Singapore University of Social Sciences,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
Singapore University of Technology and Design,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-117.7101745
Skidmore College,,,,,,,,,,,,,,,,,✕,✕,△,✕,-7.5596274,#ERROR!
Smith College,,,,,,,,,,,,,,,,,〇,✕,〇,✕,40.7430841,-74.246082
Sodertorn University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.3089241,-79.555889
Sogang University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,38.7313546,#ERROR!
South East Technological University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,24.988664,#ERROR!
Southern California Institute of Architecture,,,,,,,,,,,,,,,,,✕,✕,✕,✕,34.2574504,#ERROR!
Southern Louisiana University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.718448,-73.7534094
Southern Methodist University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-84.0162617
Southern Nazarene University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
Southern New Hampshire University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,1.30042,#ERROR!
Southern Oklahoma State University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,103.7761967
Southern Wesleyan University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
Southwestern University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.0959241,-73.7852385
Spelman College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-72.6403095
Spring Hill College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,59.2193685,17.9434032
Springfield College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.5509442,126.9410023
St. Andrews University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,no data found,#ERROR!
St. Edward's University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,34.0436973,-118.2328262
St. Francis College,,,,,,,,,,,,,,,,,✕,✕,✕,〇,30.5178932,-90.4710715
"St. John's College, Annapolis",,,,,,,,,,,,,,,,,✕,✕,△,✕,32.8412178,-96.7845175
"St. John's College, Santa Fe",,,,,,,,,,,,,,,,,✕,✕,△,✕,35.5135594,#ERROR!
St. Lawrence University,,,,,,,,,,,,,,,,,✕,✕,△,✕,43.0382166,-71.4493554
St. Mary's University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,34.0056034,#ERROR!
St. Norbert College,,,,,,,,,,,,,,,,,✕,✕,△,✕,34.7279866,-82.7651378
St. Olaf College,,,,,,,,,,,,,,,,,✕,✕,△,✕,30.6369218,#ERROR!
St. Thomas Aquinas College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,33.7451954,-84.4114376
Stanford University,,,,,,,,,,,,,,,,,〇,〇,✕,✕,#ERROR!,-88.1373223
Stephens College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.1034769,-72.5557675
Stevens Institute of Technology,,,,,,,,,,,,,,,,,✕,✕,✕,✕,56.3417136,-2.7942674
Stockholm University of the Arts,,,,,,,,,,,,,,,,,✕,✕,✕,✕,30.2290216,-97.7526464
Stonehill College,,,,,,,,,,,,,,,,,✕,✕,△,✕,40.6901136,#ERROR!
Suffolk University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-76.491536
Sungkyunkwan University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-105.912226
Sunway University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,44.5892119,-75.1608814
Susquehanna University,,,,,,,,,,,,,,,,,✕,✕,△,✕,#ERROR!,#ERROR!
Swarthmore College,,,,,,,,,,,,,,,,,〇,〇,△,✕,#ERROR!,-88.069485
Swedish University of Agricultural Sciences,,,,,,,,,,,,,,,,,✕,✕,✕,✕,44.4621319,#ERROR!
Sweet Briar College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
Syracuse University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.42766,-122.17006
Tabor College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,38.9515442,-92.3220946
Taejae University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
Tampere University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,59.3394614,#ERROR!
Temple University,,,,,,,,,,,,,,,,,✕,✕,✕,〇,42.0581053,#ERROR!
Temple University Japan,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.3578508,-71.0611037
Texas A&m International University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.588227,#ERROR!
Texas A&M University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
Texas Christian University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.7970002,-76.8775569
The College of Saint Rose,,,,,,,,,,,,,,,,,✕,✕,✕,✕,39.903833,-75.3526567
The Education University of Hong Kong,,,,,,,,,,,,,,,,,✕,✕,✕,✕,59.814971,17.6628718
The George Washington University,,,,,,,,,,,,,,,,,✕,✕,✕,〇,#ERROR!,-79.0828644
The Hong Kong Polytechnic University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.0386502,-76.1336922
The Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,✕,✕,✕,✕,38.3487594,-97.2001241
The Juilliard School,,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.5835904,#ERROR!
The Royal Academy of Music,,,,,,,,,,,,,,,,,✕,✕,✕,✕,61.4943582,23.7804048
The University of Alabama,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-75.1553563
The University of Economics Prague,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.6424088,139.6738127
The University of North Carolina at Chalotte,,,,,,,,,,,,,,,,,✕,✕,✕,✕,27.5718315,#ERROR!
The University of North Carolina at Chapel Hill,,,,,,,,,,,,,,,,,✕,✕,✕,✕,30.6186625,-96.3364251
The University of Olivet,,,,,,,,,,,,,,,,,✕,✕,✕,✕,32.7078531,-97.3628041
The University of Ostrava,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.6643076,-73.7866747
The University of the South,,,,,,,,,,,,,,,,,✕,✕,△,✕,#ERROR!,#ERROR!
The University of Tulsa,,,,,,,,,,,,,,,,,✕,✕,✕,〇,38.8997145,-77.0485992
Thiel College,,,,,,,,,,,,,,,,,✕,✕,△,✕,22.3045633,114.1795767
Thomas Aquinas College - California,,,,,,,,,,,,,,,,,✕,✕,△,✕,22.3374847,114.2633989
Thomas Aquinas College - New England,,,,,,,,,,,,,,,,,✕,✕,△,✕,#ERROR!,#ERROR!
Thomas College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,51.523405,#ERROR!
Thomas More University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,33.2114385,#ERROR!
Ton Duc Thang University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,50.0842386,14.4411405
Towson University,,,,,,,,,,,,,,,,,✕,✕,✕,〇,35.7595731,-79.0192997
Trevcecca Nazarene University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.9049122,#ERROR!
Trine University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.4402454,-84.9236035
Trinity College,,,,,,,,,,,,,,,,,✕,✕,△,✕,#ERROR!,18.2904968
Trinity College Dublin,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.2050343,#ERROR!
Trinity University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-95.9460753
Tufts University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
Tulane University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-119.0886666
Tusculum University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.7129215,#ERROR!
UBI Business School,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-69.6631426
Umea University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,39.0214548,#ERROR!
Union College - New York,,,,,,,,,,,,,,,,,✕,✕,〇,✕,10.7319314,#ERROR!
UNIST Ulsan National Institute of Technology,,,,,,,,,,,,,,,,,✕,✕,✕,✕,39.3919027,#ERROR!
United Arab Emirate University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,36.1425256,-86.7532686
Universitat Tubingen,,,,,,,,,,,,,,,,,✕,✕,✕,✕,41.63133,-85.0134723
University College London / UCL,,,,,,,,,,,,,,,,,〇,〇,✕,✕,#ERROR!,#ERROR!
University of Alberta,,,,,,,,,,,,,,,,,✕,✕,✕,✕,53.3437935,-6.2545716
University of Amsterdam,,,,,,,,,,,,,,,,,✕,✕,✕,✕,29.4618769,-98.4833382
University of Arkansas,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.4085371,-71.1182729
University of Calgary,,,,,,,,,,,,,,,,,✕,✕,✕,✕,29.9407282,-90.1203167
"University of California, Berkeley",,,,,,,,,,,,,,,,,〇,〇,✕,✕,36.1724335,#ERROR!
University of Camerino,,,,,,,,,,,,,,,,,✕,✕,✕,✕,50.8400202,4.3602987
University of Campania Luigi Vanvitelli,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,20.3054461
University of Central Arkansas,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.8179321,#ERROR!
University of Central Missouri,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.5376797,#ERROR!
University of Central Oklahoma,,,,,,,,,,,,,,,,,✕,✕,✕,✕,23.424076,53.847818
University of Chicago,,,,,,,,,,,,,,,,,〇,〇,✕,✕,#ERROR!,9.0572876
University of Cincinnati,,,,,,,,,,,,,,,,,✕,✕,✕,✕,51.5245592,-0.1340401
University of Connecticut,,,,,,,,,,,,,,,,,✕,✕,✕,✕,53.5232189,#ERROR!
University of Copenhagen,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,4.9557263
University of Debrecen,,,,,,,,,,,,,,,,,✕,✕,✕,✕,36.0686895,-94.1748471
University of Dubai,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-114.134666
University of Eastern Finland,,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.8712141,-122.255463
University of Europe for Applied Sciences,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.1465731,#ERROR!
University of Genoa,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,14.33055
University of Gothenburg,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
University of Hartford,,,,,,,,,,,,,,,,,✕,✕,✕,✕,38.7565603,-93.7405067
University of Health Sciences and Pharmacyin St. Louis,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.657506,#ERROR!
University of Houston,,,,,,,,,,,,,,,,,✕,✕,✕,✕,41.7904484,#ERROR!
University of Illinois Springfield,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
University of Indianapolis,,,,,,,,,,,,,,,,,✕,✕,✕,✕,41.8135415,#ERROR!
University of International Studies of Rome,,,,,,,,,,,,,,,,,✕,✕,✕,✕,55.6802303,12.5724096
University of Kentucky,,,,,,,,,,,,,,,,,✕,✕,✕,✕,47.5536257,21.6215102
University of Lapland,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
University of Maryland College Park,,,,,,,,,,,,,,,,,✕,✕,✕,✕,62.8909195,27.6335958
University of Massachusetts Dartmouth,,,,,,,,,,,,,,,,,✕,✕,✕,✕,no data found,no data found
University of Miami,,,,,,,,,,,,,,,,,✕,✕,✕,✕,44.4071448,8.9347381
University of Michigan-Flint,,,,,,,,,,,,,,,,,✕,✕,✕,✕,57.6983855,#ERROR!
University of Millan,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-72.7138039
University of Minnesota Twins Cities,,,,,,,,,,,,,,,,,✕,✕,✕,✕,38.627428,-90.1982439
University of Missippi,,,,,,,,,,,,,,,,,✕,✕,✕,✕,29.7204627,#ERROR!
University of Missouri,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-89.6176711
University of Modern and Reggio Emillia,,,,,,,,,,,,,,,,,✕,✕,✕,✕,39.7095769,#ERROR!
University of Montevallo,,,,,,,,,,,,,,,,,✕,✕,✕,✕,41.8601692,12.4963423
University of Mount Saint Vincent,,,,,,,,,,,,,,,,,✕,✕,✕,✕,38.0306511,-84.5039697
University of Nebraska at Kearney,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,25.7150496
University of Nebraska at Lincoln,,,,,,,,,,,,,,,,,✕,✕,✕,✕,38.9869183,#ERROR!
University of New Mexico,,,,,,,,,,,,,,,,,✕,✕,✕,✕,41.6269122,-71.0054336
University of Notre Dame,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
University of Oregon,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.0194791,-83.6894611
University of Oulu,,,,,,,,,,,,,,,,,✕,✕,✕,✕,45.460342,9.1941298
University of Padua,,,,,,,,,,,,,,,,,✕,✕,✕,✕,44.9753541,-93.2330739
University of Palermo,,,,,,,,,,,,,,,,,✕,✕,✕,✕,34.3662492,-89.5379687
University of Pennsylvania,,,,,,,,,,,,,,,,,〇,〇,✕,✕,38.9403808,#ERROR!
University of Perugia,,,,,,,,,,,,,,,,,✕,✕,✕,✕,44.6451145,#ERROR!
University of Pisa,,,,,,,,,,,,,,,,,✕,✕,✕,✕,33.1061608,-86.865545
University of Pittsburg,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
University of Puget Sound,,,,,,,,,,,,,,,,,✕,✕,△,✕,40.7011879,-99.1014292
University of Rhode Island,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-96.7004763
University of Richmond,,,,,,,,,,,,,,,,,✕,✕,△,✕,35.0907712,#ERROR!
University of Rochester,,,,,,,,,,,,,,,,,✕,✕,✕,✕,41.7051917,-86.2351655
University of Saint Francis,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-123.0726055
University of Saint Mary,,,,,,,,,,,,,,,,,✕,✕,✕,✕,65.0593177,25.4662935
University of South Carolina,,,,,,,,,,,,,,,,,✕,✕,✕,✕,45.4067393,#ERROR!
University of South Carolina Beaufort,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,13.3700307
University of South Dakota,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-75.1910161
University of South Denmark,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.1164268,#ERROR!
University of South Florida,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.7167235,10.3988593
University of Southern Mississippi,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.4444842,#ERROR!
University of St Gallen,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-122.4814442
University of St. Andrews,,,,,,,,,,,,,,,,,✕,✕,✕,✕,41.4862328,-71.5306788
University of St. Thomas (Texas),,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.5758243,-77.5397192
University of Technology Sydney,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.1305531,-77.6260033
University of the Ozarks,,,,,,,,,,,,,,,,,✕,✕,△,✕,#ERROR!,-85.1747741
University of Toronto,,,,,,,,,,,,,,,,,✕,✕,✕,✕,39.2783084,#ERROR!
University of Trento,,,,,,,,,,,,,,,,,✕,✕,✕,✕,33.9937575,-81.0299186
University of Turku,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-80.9735548
University of Turtin,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.7883015,#ERROR!
University of Twente,,,,,,,,,,,,,,,,,✕,✕,✕,✕,55.3689827,10.4282364
University of Warwick,,,,,,,,,,,,,,,,,✕,✕,✕,✕,28.0622334,-82.4135057
University of Waterloo,,,,,,,,,,,,,,,,,✕,✕,✕,✕,31.325997,-89.3320146
University of Wisconsin Platteville,,,,,,,,,,,,,,,,,✕,✕,✕,✕,47.431567,9.3749269
University of Wisconsin River Falls,,,,,,,,,,,,,,,,,✕,✕,✕,✕,no data found,no data found
University of Wisconsin-Madison,,,,,,,,,,,,,,,,,✕,✕,✕,✕,29.7366605,-95.393468
Universityof Sydney,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,151.2006119
Univesity of Southern California,,,,,,,,,,,,,,,,,〇,✕,✕,✕,#ERROR!,-93.4662875
Vanderbilt University,,,,,,,,,,,,,,,,,〇,〇,✕,✕,#ERROR!,-79.3958273
VanderCook College of Music,,,,,,,,,,,,,,,,,✕,✕,✕,✕,46.0668672,11.1231091
Vassar College,,,,,,,,,,,,,,,,,〇,✕,〇,✕,60.4542267,22.284785
Villanova University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,45.0696528,7.6890517
Vin University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,6.84979
Virginia Tech,,,,,,,,,,,,,,,,,✕,✕,✕,✕,52.3792525,-1.5614704
Virginia Wesleyan University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.4722854,-80.5448576
Wabash College,,,,,,,,,,,,,,,,,✕,✕,△,✕,42.7331994,#ERROR!
Wake Forest University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-92.6222324
Walrren Wilson University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.0755143,-89.4154526
Walsh University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,151.2057136
Wartburg College,,,,,,,,,,,,,,,,,✕,✕,△,✕,33.9793537,-117.3310945
Washington and Lee University,,,,,,,,,,,,,,,,,〇,〇,△,✕,36.1447034,-86.8026551
Washington College,,,,,,,,,,,,,,,,,✕,✕,△,✕,#ERROR!,#ERROR!
Washington University in St. Louis,,,,,,,,,,,,,,,,,✕,〇,✕,✕,41.6868243,-73.895719
Wayland Baptist University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.0368926,-75.3425785
Waynesburg University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,20.9910424,#ERROR!
Wellesley College,,,,,,,,,,,,,,,,,〇,〇,〇,✕,#ERROR!,-80.4234167
Wesleyan University,,,,,,,,,,,,,,,,,〇,〇,△,✕,36.8674624,-76.1866644
West Virginia Wesleyan College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.0369332,-86.9066712
Western Illinois University,,,,,,,,,,,,,,,,,✕,✕,△,✕,36.1354887,-80.2792887
Westminster College Missouri,,,,,,,,,,,,,,,,,✕,✕,△,✕,#ERROR!,-82.4422791
Westminster University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-81.369656
Whitman College,,,,,,,,,,,,,,,,,✕,✕,△,✕,42.7287897,#ERROR!
Whitworth University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.7898776,-79.4458935
Widner University,,,,,,,,,,,,,,,,,✕,✕,✕,〇,39.21824,-76.0695767
Wilks University,,,,,,,,,,,,,,,,,✕,✕,✕,〇,38.6487895,-90.3107962
Willamette University,,,,,,,,,,,,,,,,,✕,✕,△,✕,#ERROR!,-101.7279654
William & Mary,,,,,,,,,,,,,,,,,✕,✕,✕,✕,39.8993849,-80.1864577
William Baptist University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.2935733,-71.3059277
William Jewell College,,,,,,,,,,,,,,,,,✕,✕,△,✕,41.5567587,#ERROR!
William Woods University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,38.989687,-80.2187986
Williams College,,,,,,,,,,,,,,,,,〇,〇,△,✕,#ERROR!,-90.6858559
Wilmington College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,38.8483122,-91.9550774
Wilson College,,,,,,,,,,,,,,,,,✕,✕,△,✕,40.7322206,-111.8549815
Winston-Salem State University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-118.3295895
Wittenberg University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-117.4178623
Wofford College,,,,,,,,,,,,,,,,,✕,✕,△,✕,39.8615555,-75.3576496
Worcester Polytechnic Institute,,,,,,,,,,,,,,,,,✕,✕,✕,✕,41.2449585,-75.8883633
Wyoming Catholic College,,,,,,,,,,,,,,,,,✕,✕,✕,✕,44.9352335,-123.0307101
Yale University,,,,,,,,,,,,,,,,,〇,〇,✕,✕,37.2709753,-76.7162467
Yeshiva University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,36.1261107,#ERROR!
Yonsei University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,39.2480581,-94.4115465
York University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-91.9490745
Youngstown State University,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-73.2031395
エリザベト音楽,,,,,,,,,,,,,,,,,✕,✕,✕,✕,39.4447895,#ERROR!
ものつくり大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
愛知東邦大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-80.2250436
愛知文教大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-83.8139097
育英大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,34.9590202,-81.9351358
宇都宮共和大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
羽衣国際大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,42.8334091,-108.7313717
園田学園女子大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,-72.9223431
奥羽大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.8506041,#ERROR!
横浜商科大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.5663937,126.9387066
横浜薬科大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,no data found,no data found
沖縄大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,41.1066413,#ERROR!
海上保安大学校,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,132.4678165
学習院女子大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,36.1149204,139.4573903
関西福祉科学大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,136.9869585
関西福祉大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.300509,#ERROR!
関東学院大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,139.050794
岐阜保険大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,36.9730717,139.9809305
気象大学校,,,,,,,,,,,,,,,,,✕,✕,✕,✕,34.5344041,#ERROR!
宮崎国際大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,34.7480145,#ERROR!
京都医療科学大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,37.4181849,140.3742552
京都先端科学大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.4982677,#ERROR!
九州ルーテル学院大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.3836242,139.4954531
九州共立大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,#ERROR!
九州産業大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,34.2451856,132.5280789
九州女子大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,139.712519
広島都市学園大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,135.6367633
弘前医療福祉大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,34.7611031,#ERROR!
弘前学院大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,139.6254322
高崎健康福祉大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.3842529,136.7400152
国際医療福祉大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,139.9590882
国際基督教大学 / ICU,,,,,,,,,,,,,,,,,✕,✕,✕,✕,31.8607433,131.3951071
国士舘大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.1023033,135.4794469
国立看護大学校,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,135.7184572
埼玉工業大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,32.8201885,130.7231449
札幌学院大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,130.7055111
札幌大谷大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,130.4446572
三育学院大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,32.59,130.8
四国学院大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,#ERROR!,132.457718
純真学園大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.5886272,140.5003547
昭和音楽大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,40.5838399,#ERROR!
新潟医療福祉大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,36.3247761,139.0547173
新潟経営大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,36.8709819,140.0696377
神戸女学院大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.6875365,#ERROR!
神戸松蔭女子学院大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.6478739,139.6537457
神戸薬科大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,35.7739147,139.5085139
神奈川大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,36.1949681,139.2387906
身延山大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.0664097,#ERROR!
人間環境大学,,,,,,,,,,,,,,,,,✕,✕,✕,✕,43.0822493,141.3664864
